61,68
1226,1227,1228,1229,1030,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1031,1032,1226,1227,1228,1229
1276,1277,1278,1279,1080,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1081,1082,1276,1277,1278,1279
1326,1327,1328,1329,1130,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1131,1132,1326,1327,1328,1329
1276,1277,1278,1279,1180,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1181,1182,1276,1277,1278,1279
1326,1327,1328,1329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203,204,205,1326,1327,1328,1329
1276,1277,1278,1279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,253,254,255,1276,1277,1278,1279
1326,1327,1328,1329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,303,304,305,1326,1327,1328,1329
1276,1277,1278,1279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1276,1277,1278,1279
1326,1327,1328,1329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1326,1327,1328,1329
1276,1277,1278,1279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1276,1277,1278,1279
1326,1327,1328,1329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1326,1327,1328,1329
1276,1277,1278,1279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1276,1277,1278,1279
