1,5920,1920,90,120,6,1
11,488,43,90,90
10,128,32,180,119
10,128,32,184,119
10,128,32,358,59
10,128,32,362,59
10,128,32,366,59
10,128,32,374,51
10,128,32,378,52
10,128,32,381,51
10,128,32,390,43
10,128,32,393,43
10,128,32,398,43
12,16,110,0
12,29,110,0
12,24,110,0
12,67,83,0
12,71,80,0
12,89,78,0
12,93,78,0
12,97,78,0
12,139,73,0
12,141,71,0
12,143,70,0
12,145,72,0
12,146,74,0
12,147,76,0
12,148,78,0
12,172,75,0
12,176,72,0
12,180,68,0
12,192,55,0
12,196,58,0
12,200,58,0
12,204,56,0
12,209,53,0
12,212,55,0
12,215,56,0
12,218,54,0
12,221,51,0
12,224,53,0
12,227,54,0
12,230,52,0
12,232,49,0
12,234,46,0
12,236,48,0
12,239,50,0
12,243,46,0
12,246,42,0
12,252,36,0
12,252,32,0
12,252,28,0
12,256,36,0
12,256,32,0
12,256,28,0
12,260,36,0
12,260,32,0
12,260,28,0
12,264,36,0
12,264,32,0
12,264,28,0
12,268,36,0
12,268,32,0
12,268,28,0
12,272,36,0
12,272,32,0
12,272,28,0
12,276,36,0
12,276,28,0
12,280,36,0
12,280,32,0
12,280,28,0
12,284,36,0
12,284,32,0
12,284,28,0
12,308,31,0
12,308,35,0
12,308,39,0
12,308,43,0
12,308,47,0
12,312,45,0
12,316,43,0
12,316,47,0
12,316,51,0
12,316,55,0
12,316,59,0
12,320,56,0
12,323,53,0
12,328,55,0
12,328,59,0
12,328,63,0
12,337,59,0
12,341,59,0
12,345,59,0
12,349,59,0
12,359,54,0
12,363,54,0
12,367,54,0
12,375,46,0
12,379,46,0
12,383,46,0
12,391,37,0
12,395,37,0
12,399,37,0
12,404,32,0
12,411,37,0
12,418,32,0
12,450,34,0
12,461,28,0
12,473,34,0
12,130,69,2
12,290,32,2
12,432,33,2
12,187,56,1
12,415,109,1
16,467,115
16,479,83
16,483,63
