1,200,2200,90,120,6,1
4,9500,2200,90,90,5,0
5,700,100,120,150,5,0
5,2216,2051,60,150,5,0
5,8233,1507,60,150,5,0
5,8212,2371,120,150,5,0
5,7000,835,120,150,5,0
7,160,160,5510,1920,5510,640
7,160,160,5750,640,5750,1920
8,200,200,100,100,2,0
8,651,2371,100,100,2,0
8,13760,2371,100,100,2,0
9,128,32,5840,640,7104,2448
10,128,32,1920,2560,,
10,128,32,9280,2432,,
10,128,32,9184,1472,,
10,128,32,9504,1312,,
9,128,32,11264,2336,12320,2432
10,128,32,13472,2176,,
10,128,32,13088,1920,,
10,128,32,12704,1664,,
10,128,32,12320,1408,,
10,128,32,11936,1152,,
10,128,32,11552,896,,
10,128,32,11808,640,,
10,128,32,13088,1024,,
10,128,32,12704,1024,,
10,128,32,12320,896,,
9,128,32,13472,1024,13472,1664
11,1200,1312,,,,
12,1200,1512,0,,,
12,294,2371,0,,,
12,300,2115,2,,,
12,7646,1507,0,,,
12,7191,650,2,,,
4,700,2000,90,90,6,0
16,400,2000,,,,
3,200,220,90,90,1,0
15,400,2000,90,90,2,0
13,600,2000,250,250,4,0
6,200,2000,90,150,6,0
